2026-07-03 02:19:08	cid=1	cas=14992-62-2	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=14992-62-2&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:19:08	cid=2	cas=7559-18-4	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=7559-18-4&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:19:09	cid=3	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:19:10	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=0&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:10	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=1&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:10	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=2&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:11	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=3&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:11	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=4&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:15	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=5&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:15	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=6&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:16	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=7&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:16	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=8&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:16	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=9&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:16	cid=4	cas=78-96-6	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=78-96-6&Units=SI&Mask=480	reason=all_jcamp_downloads_failed	message=ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404
2026-07-03 02:19:17	cid=5	cas=205189-34-0	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=205189-34-0&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:19:21	cid=6	cas=97-00-7	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=2&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:22	cid=6	cas=97-00-7	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=3&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:22	cid=6	cas=97-00-7	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=4&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:22	cid=6	cas=97-00-7	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=5&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:23	cid=6	cas=97-00-7	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=6&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:27	cid=6	cas=97-00-7	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=7&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:27	cid=6	cas=97-00-7	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=8&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:27	cid=6	cas=97-00-7	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=9&Type=IR	reason=download_http_404	message=
