2026-07-03 02:14:40	cid=1	cas=14992-62-2	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=14992-62-2&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:14:40	cid=2	cas=7559-18-4	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=7559-18-4&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:14:41	cid=3	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:14:42	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=0&Type=IR	reason=download_http_404	message=
2026-07-03 02:14:42	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=1&Type=IR	reason=download_http_404	message=
2026-07-03 02:14:42	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=2&Type=IR	reason=download_http_404	message=
2026-07-03 02:14:43	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=3&Type=IR	reason=download_http_404	message=
2026-07-03 02:14:43	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=4&Type=IR	reason=download_http_404	message=
2026-07-03 02:14:47	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=5&Type=IR	reason=download_http_404	message=
2026-07-03 02:14:47	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=6&Type=IR	reason=download_http_404	message=
2026-07-03 02:14:48	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=7&Type=IR	reason=download_http_404	message=
2026-07-03 02:14:48	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=8&Type=IR	reason=download_http_404	message=
2026-07-03 02:14:49	cid=4	cas=78-96-6	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C2799168&Index=9&Type=IR	reason=download_http_404	message=
2026-07-03 02:14:49	cid=4	cas=78-96-6	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=78-96-6&Units=SI&Mask=480	reason=all_jcamp_downloads_failed	message=ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404
2026-07-03 02:14:49	cid=5	cas=205189-34-0	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=205189-34-0&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:14:54	cid=6	cas=97-00-7	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=2&Type=IR	reason=download_http_404	message=
2026-07-03 02:14:54	cid=6	cas=97-00-7	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=3&Type=IR	reason=download_http_404	message=
2026-07-03 02:14:55	cid=6	cas=97-00-7	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=4&Type=IR	reason=download_http_404	message=
2026-07-03 02:14:55	cid=6	cas=97-00-7	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=5&Type=IR	reason=download_http_404	message=
2026-07-03 02:14:55	cid=6	cas=97-00-7	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=6&Type=IR	reason=download_http_404	message=
2026-07-03 02:14:59	cid=6	cas=97-00-7	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=7&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:00	cid=6	cas=97-00-7	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=8&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:00	cid=6	cas=97-00-7	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=9&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:00	cid=6	cas=97-00-7	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=1&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:15:01	cid=6	cas=97-00-7	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=2&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:15:05	cid=6	cas=97-00-7	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=3&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:15:05	cid=6	cas=97-00-7	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=4&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:15:06	cid=6	cas=97-00-7	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=5&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:15:06	cid=6	cas=97-00-7	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=6&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:15:06	cid=6	cas=97-00-7	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=7&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:15:10	cid=6	cas=97-00-7	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=8&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:15:11	cid=6	cas=97-00-7	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=9&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:15:11	cid=6	cas=97-00-7	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=97-00-7&Units=SI&Mask=480	reason=all_jcamp_downloads_failed	message=ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404
2026-07-03 02:15:11	cid=7	cas=2715-68-6	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=2715-68-6&Units=SI&Mask=480	reason=no_jcamp_links	message=
2026-07-03 02:15:12	cid=8	cas=562-43-6	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=562-43-6&Units=SI&Mask=480	reason=nist_not_found	message=
