cid,iupac_name,pubchem_inchikey,rdkit_inchikey,canonical_smiles,isomeric_smiles,formula,pubchem_molecular_weight,rdkit_molecular_weight,exact_mass,charge,heavy_atom_count,isotope_atom_count,covalent_unit_count,elements,xlogp,tpsa,h_bond_donor_count,h_bond_acceptor_count,rotatable_bond_count,source
1,3-acetyloxy-4-(trimethylazaniumyl)butanoate,RDHQFKQIGNGIED-UHFFFAOYSA-N,RDHQFKQIGNGIED-UHFFFAOYSA-N,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,,C9H17NO4,203.24,203.238,203.11575802,0,14,0,1,C;H;N;O,0.4,66.4,0,4,5,PubChem
2,(2-acetyloxy-3-carboxypropyl)-trimethylazanium,RDHQFKQIGNGIED-UHFFFAOYSA-O,RDHQFKQIGNGIED-UHFFFAOYSA-O,CC(=O)OC(CC(=O)O)C[N+](C)(C)C,,C9H18NO4+,204.24,204.246,204.12358306,1,14,0,1,C;H;N;O,-0.3,63.6,1,4,6,PubChem
3,"5,6-dihydroxycyclohexa-1,3-diene-1-carboxylic acid",INCSWYKICIYAHB-UHFFFAOYSA-N,INCSWYKICIYAHB-UHFFFAOYSA-N,O=C(O)C1=CC=CC(O)C1O,,C7H8O4,156.14,156.137,156.04225873,0,11,0,1,C;H;O,-0.3,77.8,3,4,1,PubChem
4,1-aminopropan-2-ol,HXKKHQJGJAFBHI-UHFFFAOYSA-N,HXKKHQJGJAFBHI-UHFFFAOYSA-N,CC(O)CN,,C3H9NO,75.11,75.111,75.068413911,0,5,0,1,C;H;N;O,-1,46.3,2,2,1,PubChem
5,(3-amino-2-oxopropyl) dihydrogen phosphate,HIQNVODXENYOFK-UHFFFAOYSA-N,HIQNVODXENYOFK-UHFFFAOYSA-N,NCC(=O)COP(=O)(O)O,,C3H8NO5P,169.07,169.073,169.01400935,0,10,0,1,C;H;N;O;P,-5,110,3,6,4,PubChem
6,"1-chloro-2,4-dinitrobenzene",VYZAHLCBVHPDDF-UHFFFAOYSA-N,VYZAHLCBVHPDDF-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,,C6H3ClN2O4,202.55,202.553,201.9781343,0,13,0,1,C;Cl;H;N;O,2.3,91.6,0,4,0,PubChem
7,9-ethylpurin-6-amine,MUIPLRMGAXZWSQ-UHFFFAOYSA-N,MUIPLRMGAXZWSQ-UHFFFAOYSA-N,CCn1cnc2c(N)ncnc21,,C7H9N5,163.18,163.184,163.08579531,0,12,0,1,C;H;N,0.2,69.6,1,4,1,PubChem
8,"2,3-dihydroxy-3-methylpentanoic acid",PDGXJDXVGMHUIR-UHFFFAOYSA-N,PDGXJDXVGMHUIR-UHFFFAOYSA-N,CCC(C)(O)C(O)C(=O)O,,C6H12O4,148.16,148.158,148.07355886,0,10,0,1,C;H;O,-0.4,77.8,3,4,3,PubChem
9,"(2,3,4,5,6-pentahydroxycyclohexyl) dihydrogen phosphate",INAPMGSXUVUWAF-UHFFFAOYSA-N,INAPMGSXUVUWAF-UHFFFAOYSA-N,O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O,,C6H13O9P,260.14,260.135,260.02971899,0,16,0,1,C;H;O;P,-4.8,168,7,9,2,PubChem
11,"1,2-dichloroethane",WSLDOOZREJYCGB-UHFFFAOYSA-N,WSLDOOZREJYCGB-UHFFFAOYSA-N,ClCCCl,,C2H4Cl2,98.96,98.96,97.9690055,0,4,0,1,C;Cl;H,1.5,0,0,0,1,PubChem
12,"benzene-1,2,3,5-tetrol",RDJUHLUBPADHNP-UHFFFAOYSA-N,RDJUHLUBPADHNP-UHFFFAOYSA-N,Oc1cc(O)c(O)c(O)c1,,C6H6O4,142.11,142.11,142.02660867,0,10,0,1,C;H;O,0.8,80.9,4,4,0,PubChem
13,"1,2,4-trichlorobenzene",PBKONEOXTCPAFI-UHFFFAOYSA-N,PBKONEOXTCPAFI-UHFFFAOYSA-N,Clc1ccc(Cl)c(Cl)c1,,C6H3Cl3,181.4,181.449,179.930033,0,9,0,1,C;Cl;H,4,0,0,0,0,PubChem
14,7-[3-hydroxy-5-oxo-2-(3-oxooct-1-enyl)cyclopentyl]heptanoic acid,VXPBDCBTMSKCKZ-UHFFFAOYSA-N,VXPBDCBTMSKCKZ-UHFFFAOYSA-N,CCCCCC(=O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,,C20H32O5,352.5,352.471,352.22497412,0,25,0,1,C;H;O,3.1,91.7,2,5,13,PubChem
15,"17-hydroxy-10,13-dimethyl-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-one",NVKAWKQGWWIWPM-UHFFFAOYSA-N,NVKAWKQGWWIWPM-UHFFFAOYSA-N,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,,C19H30O2,290.4,290.447,290.224580195,0,21,0,1,C;H;O,3.7,37.3,1,2,0,PubChem
16,"1,8-diazacyclotetradecane-2,9-dione",HERSSAVMHCMYSQ-UHFFFAOYSA-N,HERSSAVMHCMYSQ-UHFFFAOYSA-N,O=C1CCCCCNC(=O)CCCCCN1,,C12H22N2O2,226.32,226.32,226.168127949,0,16,0,1,C;H;N;O,0.6,58.2,2,2,0,PubChem
17,"2,3-dihydropyridine-2,6-dicarboxylic acid",UWOCFOFVIBZJGH-UHFFFAOYSA-N,UWOCFOFVIBZJGH-UHFFFAOYSA-N,O=C(O)C1=NC(C(=O)O)CC=C1,,C7H7NO4,169.13,169.136,169.03750770,0,12,0,1,C;H;N;O,-0.1,87,2,5,2,PubChem
18,"4,5,6-trihydroxy-2,3-dioxohexanoic acid",GJQWCDSAOUMKSE-UHFFFAOYSA-N,GJQWCDSAOUMKSE-UHFFFAOYSA-N,O=C(O)C(=O)C(=O)C(O)C(O)CO,,C6H8O7,192.12,192.123,192.02700259,0,13,0,1,C;H;O,-1.8,132,4,7,5,PubChem
19,"2,3-dihydroxybenzoic acid",GLDQAMYCGOIJDV-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N,O=C(O)c1cccc(O)c1O,,C7H6O4,154.12,154.121,154.02660867,0,11,0,1,C;H;O,1.2,77.8,3,4,1,PubChem
20,"3-(2,3-dihydroxyphenyl)propanoic acid",QZDSXQJWBGMRLU-UHFFFAOYSA-N,QZDSXQJWBGMRLU-UHFFFAOYSA-N,O=C(O)CCc1cccc(O)c1O,,C9H10O4,182.17,182.175,182.05790880,0,13,0,1,C;H;O,1,77.8,3,4,3,PubChem
21,2-ethyl-2-hydroxy-3-oxobutanoic acid,VUQLHQFKACOHNZ-UHFFFAOYSA-N,VUQLHQFKACOHNZ-UHFFFAOYSA-N,CCC(O)(C(C)=O)C(=O)O,,C6H10O4,146.14,146.142,146.05790880,0,10,0,1,C;H;O,-0.2,74.6,2,4,3,PubChem
22,2-hydroxy-2-methyl-3-oxobutanoic acid,NMDWGEGFJUBKLB-UHFFFAOYSA-N,NMDWGEGFJUBKLB-UHFFFAOYSA-N,CC(=O)C(C)(O)C(=O)O,,C5H8O4,132.11,132.115,132.04225873,0,9,0,1,C;H;O,-0.7,74.6,2,4,2,PubChem
23,2-amino-3-(3-oxoprop-1-enyl)but-2-enedioic acid,KACPVQQHDVBVFC-UHFFFAOYSA-N,KACPVQQHDVBVFC-UHFFFAOYSA-N,NC(C(=O)O)=C(C=CC=O)C(=O)O,,C7H7NO5,185.13,185.135,185.03242232,0,13,0,1,C;H;N;O,-0.5,118,3,6,4,PubChem
