label,positive_test_samples_seed42,precision_seed42,precision_seed123,precision_seed2026,precision_mean,precision_sd,recall_seed42,recall_seed123,recall_seed2026,recall_mean,recall_sd,f1_seed42,f1_seed123,f1_seed2026,f1_mean,f1_sd,average_precision_seed42,average_precision_seed123,average_precision_seed2026,average_precision_mean,average_precision_sd,auroc_seed42,auroc_seed123,auroc_seed2026,auroc_mean,auroc_sd
hydroxyl,4334,0.9988420565076425,0.9947089947089947,0.9976889299745783,0.9970799937304051,0.0021327570114669,0.9951545916012922,0.997692662667282,0.9960775265343793,0.9963082602676512,0.00128467105741346,0.9969949144706426,0.9961985946319548,0.9968825770696225,0.9966920287240733,0.0004310021175882752,0.9998686164462349,0.9991947463825404,0.9998892812722434,0.9996508813670062,0.0003951595902907508,0.9999234578797398,0.9997668513941873,0.9999384807884748,0.9998762633541339,9.505080052920498e-05
alkyne,1514,0.9959731543624161,0.9933554817275747,0.9905977165883143,0.9933087842261017,0.0026880231227228873,0.9801849405548216,0.987450462351387,0.9742404227212682,0.980625275209159,0.006616019023036819,0.9880159786950732,0.9903941702550514,0.9823509823509824,0.986920377100369,0.004132006178090641,0.9979326583622882,0.9985134866481513,0.998061456910101,0.9981692006401801,0.00030503591254672503,0.9997042227544229,0.9998331320972859,0.9997898455149974,0.9997757334555687,6.560310461651664e-05
nitrile,1517,0.9710610932475884,0.9779364049318624,0.9766081871345029,0.9752018951046513,0.003647015306232894,0.995385629531971,0.99340804218853,0.990771259063942,0.993188310261481,0.0023150195018353235,0.9830729166666666,0.9856115107913669,0.9836387434554974,0.9841077236378436,0.0013326934535240267,0.9963827035044549,0.9976691018435146,0.9967826027311808,0.9969448026930501,0.0006583591667218774,0.9996587293299801,0.9997893724575766,0.9996649394786511,0.9997043470887359,7.369956917442965e-05
carbonyl,3898,0.9773306164034641,0.9799847985812009,0.9778569610587936,0.9783907920144862,0.0014053121984440703,0.9843509492047203,0.9923037455105183,0.9856336582863007,0.987429451000513,0.004269706766827445,0.9808282208588958,0.9861057998725302,0.9817299092883608,0.9828879766732622,0.0028229506039369706,0.9972464091524674,0.997659649193546,0.9983708029957459,0.9977589537805864,0.0005687366960695204,0.9991240493647123,0.9993235520752208,0.9993285230495322,0.9992587081631551,0.0001166444239770841
aldehyde,1284,0.9642023346303502,0.968895800933126,0.9694596711041503,0.9675192688892088,0.0028863518584253197,0.9649532710280374,0.9704049844236761,0.9641744548286605,0.9665109034267914,0.003394781108676544,0.9645776566757494,0.9696498054474708,0.9668098399062867,0.9670124340098356,0.0025421362215100685,0.9949027559076414,0.9920876856566931,0.9946446466414613,0.9938783627352653,0.0015561325130318492,0.9994101118134239,0.9993095055659025,0.9993457930608722,0.9993551368133995,5.094981396975422e-05
alkene,1745,0.9430232558139535,0.9732197200243458,0.974251497005988,0.9634981576147624,0.017739288141003225,0.929512893982808,0.9163323782234957,0.932378223495702,0.9260744985673353,0.008557698867087732,0.9362193362193362,0.9439197166469894,0.9528550512445095,0.9443313680369451,0.008325493754116568,0.9841392800756337,0.9850901162347259,0.9881947864080135,0.9858080609061244,0.0021209352456841614,0.9970607676308549,0.9969323174283233,0.9974193418412571,0.9971374756334784,0.0002524109406270794
ether,5260,0.9444018404907976,0.9495341614906833,0.9265760664401661,0.9401706894738823,0.012049710008257558,0.9365019011406844,0.9300380228136882,0.9332699619771863,0.9332699619771863,0.003231939163498121,0.9404352806414662,0.939684978870534,0.9299109679863611,0.9366770758327871,0.005871618152516974,0.9854824639560108,0.9857776076016808,0.9812108099271928,0.9841569604949615,0.0025557053466445535,0.9897848098834692,0.9903003167008353,0.9863178689495786,0.9888009985112943,0.0021658453626442692
imine,1295,0.9534686971235194,0.926734216679657,0.9176563737133808,0.9326197625055191,0.018617474701455416,0.8702702702702703,0.9181467181467181,0.894980694980695,0.8944658944658944,0.023942375195332773,0.9099717400080742,0.9224204809930179,0.9061767005473026,0.9128563071827982,0.008497390577775741,0.9750633927145366,0.9744323725447475,0.9703284091849611,0.9732747248147484,0.002571017008192819,0.9959816286788733,0.9964459667608734,0.9951235580706743,0.9958503845034736,0.0006709023484537423
amide,1053,0.9083094555873925,0.9497907949790795,0.9131736526946108,0.9237579677536942,0.022675894103310144,0.9031339031339032,0.862298195631529,0.8689458689458689,0.8781259892371004,0.021911063603257026,0.9057142857142857,0.9039323046291687,0.8905109489051095,0.9000525130828546,0.008311134060129854,0.9688774903547047,0.9690126342139251,0.9603767559347344,0.9660889601677881,0.004947375452273532,0.9966776760595226,0.9965404169238283,0.9953457688199472,0.9961879539344327,0.0007325754861300211
ester,622,0.9159369527145359,0.9011345218800648,0.8795562599049128,0.8988759114998378,0.018295209563278906,0.8408360128617364,0.8938906752411575,0.8922829581993569,0.8756698821007503,0.030177723955629294,0.8767812238055323,0.897497982243745,0.8858739026336792,0.8867177028943188,0.010384123420236606,0.9401640653220754,0.9473502358727545,0.9487489674348811,0.945421089543237,0.004606119868406817,0.9976806545030517,0.9979190997929313,0.9975640335524913,0.9977212626161581,0.00018098279728355552
