label,positive_test_samples_seed42,precision_seed42,precision_seed123,precision_seed2026,precision_mean,precision_sd,recall_seed42,recall_seed123,recall_seed2026,recall_mean,recall_sd,f1_seed42,f1_seed123,f1_seed2026,f1_mean,f1_sd,average_precision_seed42,average_precision_seed123,average_precision_seed2026,average_precision_mean,average_precision_sd,auroc_seed42,auroc_seed123,auroc_seed2026,auroc_mean,auroc_sd
carbonyl,3898,0.8288288288288288,0.8906298965841429,0.9091211717709721,0.8761932990613146,0.04204790832861708,0.8024628014366342,0.7290918419702411,0.7006157003591585,0.7440567812553446,0.052546836777550274,0.8154327424400417,0.8018056143320638,0.7913648217907853,0.8028677261876302,0.012069062195963171,0.8999756408344712,0.8967231225068657,0.895917219714983,0.8975386610187733,0.0021486095024644382,0.9368092711156397,0.9349090173304546,0.9337412620298285,0.9351531834919743,0.0015485098557898877
ketone,1272,0.7394094993581515,0.6731601731601732,0.613556338028169,0.6753753368488312,0.06295581598878146,0.4528301886792453,0.4889937106918239,0.5479559748427673,0.49659329140461217,0.04801608083303618,0.5616772306192102,0.5664845173041895,0.5789036544850499,0.5690218008028165,0.0088890818122963,0.6752513765866482,0.6456990059536516,0.6271718779662262,0.6493740868355087,0.02424951982027551,0.9268096465063965,0.9136269552368199,0.9068495932011659,0.9157620649814607,0.010149874491990406
ether,5260,0.6095787898225358,0.6049429657794677,0.6456235476374903,0.6200484344131646,0.022269654879844496,0.5420152091254753,0.6049429657794677,0.31692015209125474,0.4879594423320659,0.15142920703726992,0.573815034718728,0.6049429657794677,0.42514664626370824,0.5346348822539679,0.09608846126473587,0.6230477045794087,0.6324741010280468,0.6200135994324942,0.6251784683466499,0.006497779672860024,0.7383358580100787,0.7439592184270543,0.7398877339614492,0.740727603466194,0.002904235042752575
amine,3491,0.6538243626062323,0.503598691384951,0.46480822459470145,0.5407437595286282,0.09983282111984688,0.3305643082211401,0.6614150673159553,0.6734460040103122,0.5551417931824691,0.1945828125069193,0.439117199391172,0.5718177315502724,0.5500058486372675,0.5203135931929039,0.07115883876130295,0.5876249881479834,0.569984737263068,0.5170910856562552,0.5582336036891021,0.03670592193887854,0.8154964036681408,0.8009998010841668,0.7707673864964824,0.7957545304162633,0.022821172024466787
aldehyde,1284,0.6548672566371682,0.7306733167082294,0.8006644518272426,0.72873500839088,0.0729179217385753,0.6915887850467289,0.45638629283489096,0.18769470404984423,0.4452232606438214,0.25213244769703463,0.6727272727272727,0.5618408437200384,0.3041009463722397,0.512889687606517,0.18912562989753554,0.7100948259049312,0.7081116679048334,0.67610787620778,0.6981047900058482,0.019075675384978383,0.9529176078111463,0.9518006187916757,0.9499534854238793,0.9515572373422337,0.0014969740408984343
alkene,1745,0.6353637901861252,0.7146562905317769,0.6458557588805167,0.6652919465328063,0.04307144292460556,0.4303724928366762,0.3157593123209169,0.3438395415472779,0.36332378223495704,0.0597391999725981,0.5131533993850359,0.4379968203497615,0.4487658937920718,0.4666387045089564,0.04064118434866964,0.5948200167090425,0.5829140349213892,0.5565173859146109,0.5780838125150142,0.019602835708512196,0.8936590941315319,0.8934098186243358,0.8857791829577667,0.8909493652378782,0.004479243594269635
ester,622,0.623608017817372,0.95,0.8961038961038961,0.8232373046404227,0.17497167377008424,0.45016077170418006,0.21382636655948553,0.22186495176848875,0.2952840300107181,0.1341874008662069,0.5228758169934641,0.34908136482939633,0.3556701030927835,0.4092090949718813,0.09849337865727159,0.5352176662468716,0.5321631481522515,0.5237802868531878,0.5303870337507703,0.005921937911201672,0.8646119872027856,0.858319854388369,0.8605044971588197,0.8611454462499915,0.003194658924152954
alkyne,1514,0.5954692556634305,0.599483204134367,0.7197231833910035,0.638225214396267,0.07060784062894226,0.36459709379128136,0.30647291941875826,0.13738441215323646,0.26948480845442535,0.11803597307101017,0.4522736583367472,0.40559440559440557,0.230726566833056,0.3628648769214029,0.11679100095426423,0.5164264124524377,0.47917979034125435,0.47112868559888343,0.4889116294641918,0.024166144377224415,0.8710066471831927,0.853735300850099,0.8568664788361157,0.8605361422898025,0.009201884232966114
amide,1053,0.5744336569579288,0.5854092526690391,0.8,0.653280969875656,0.1271808604931362,0.3371320037986705,0.3124406457739791,0.1291547958214625,0.2595758151313707,0.1136206297230061,0.4248952722920407,0.40743034055727556,0.2224039247751431,0.3515765125414865,0.11220705874772434,0.4615217668493373,0.4502270452777571,0.422972909025014,0.4449072403840361,0.019817387642431995,0.8411411011176269,0.8451026672857659,0.8307997717230895,0.839014513375494,0.007384780764379468
c_f_bond,144,0.6029411764705882,0.6086956521739131,0.64,0.6172122762148338,0.019943388983239854,0.2847222222222222,0.19444444444444445,0.1111111111111111,0.19675925925925924,0.08682870061810671,0.3867924528301887,0.29473684210526313,0.1893491124260355,0.2902928024538291,0.098796661298878,0.3422284448521412,0.3477407422782639,0.26732199048683236,0.3190970592057458,0.04492315284310161,0.943731174209966,0.9505081881367228,0.9268361095963923,0.9403584906476937,0.012191106242392861
imine,1295,0.5214007782101168,0.5943661971830986,0.7608695652173914,0.6255455135368689,0.12274134313221535,0.20694980694980694,0.16293436293436295,0.05405405405405406,0.14131274131274132,0.07870767881567346,0.2962962962962963,0.25575757575757574,0.10093727469358327,0.2176637155824851,0.10310016230671919,0.3885459976941316,0.4209561292458034,0.3711424766857985,0.3935482012085778,0.025280754050110425,0.8344081655308764,0.8496931615363927,0.8267925121767327,0.836964613081334,0.011662396980561292
hydroxyl,4334,0.5996488147497805,0.7509157509157509,0.6827458256029685,0.6777701304228333,0.07575611956240999,0.15759113982464237,0.04730041532071989,0.084910013844024,0.09660052299646209,0.0560670311420398,0.2495888909190572,0.0889950075971348,0.15103632259388466,0.16320674037002555,0.0809857280126453,0.5172824403563087,0.505879026747024,0.5169445311970013,0.5133686661001113,0.006488418056774066,0.681888946922916,0.677562455941918,0.677693406074453,0.6790482696464291,0.0024609698344687033
nitrile,1517,0.75,0.4094488188976378,0.65,0.6031496062992125,0.17504284127033748,0.005932762030323006,0.034278180619644036,0.008569545154911009,0.016260162601626018,0.015659657923618397,0.011772400261608895,0.06326034063260341,0.016916070266753416,0.030649603720321907,0.028358587002034946,0.21465098184675843,0.20584771198269786,0.2169746347697615,0.2124911095330726,0.0058694879662445016,0.6745757318430203,0.6561815589865221,0.6795533960083004,0.6701035622792809,0.012311007956226415
